JMÉNO;PŘÍJMENÍ;SMLOUVA;POZICE;TÝM;VĚK;DRŽENÍ HOLE;NÁRODNOST;Foto;Zdroj
Ondřej;Hrabík;26/27;F;SPA;22;L;CZE;;
Tomáš;Hyka;26/27;RW;SPA;33;P;CZE;;
Filip;Chlapík;28/29;LW/C;SPA;28;L;CZE;;
Pavel;Kousal;27/28;LW/RW;SPA;27;L;CZE;;
Ondřej;Najman;26/27+1;C/LRW;SPA;28;L;CZE;;
Filip;Novák;26/27+1;F;SPA;18;L;CZE;;
Jiří;Pospíšil;26/27;F;SPA;20;P;CZE;;
Adam;Raška;26/27;RW/LW;SPA;24;P;CZE;;
Michal;Řepík;27/28;RW;SPA;27;P;CZE;;
Jiří;Sekáč;27/28;LW;SPA;33;L;CZE;;
Devin;Shore;27/28;C;SPA;31;L;CAN;;
Michael;Špaček;27/28;C/RW;SPA;29;P;CZE;;
Kristian;Vesalainen;26/27;C/LW;SPA;26;L;FIN;;
Ondřej;Kacetl;26/27;B;TRI;31;L;CZE;;
Marek;Mazanec;27/28;B;TRI;23;P;CZE;;
Jakub;Galvas;27/28;O;TRI;22;L;CZE;;
Bohumil;Jank;26/27;O;TRI;30;L;CZE;;
Patrik;Koch;28/29;O;TRI;32;L;SVK;;
Martin;Marinčin;27/28;O;TRI;23;L;SVK;;
David;Musil;26/27;O;TRI;29;L;CZE;;
Pavel;Průšek;27/288;O;TRI;32;L;CZE;;
Filip;Pyrochta;28/29;O;TRI;20;L;CZE;;
Marko;Daňo;27/28;LW/C;TRI;30;L;SVK;;
Oscar;Flynn;28/29;LW;TRI;29;L;CZE;;
Patrik;Hrehorčák;26/27;LW;TRI;30;L;SVK;;
Libor;Hudáček;28/29;RW/C;TRI;25;P;SVK;;
Michal;Kovařčík;27/28;C/RW;TRI;30;L;CZE;;
Ondřej;Kovařčík;26/27;LW;TRI;18;L;CZE;;
Daniel;Kurovský;26/27;LW;TRI;19;P;CZE;;
Andrej;Nestrašil;27/28;RW/C;TRI;22;L;CZE;;
Michal;Rybníkár;28/29;F;TRI;26;L;CZE;;
Daniel;Voženílek;27/28;LW/RW;TRI;34;L;CZE;;
Dominik;Hrachovina;26/27;B;VIT;32;L;CZE;;
Patrik;Švančara;26/27+1;B;VIT;27;L;CZE;;
Patrik;Brůna;26/27+1;O;VIT;22;L;CZE;;
Patrik;Demel;28/29;O;VIT;31;L;CZE;;
Rhett;Holland;27/28;O;VIT;21;P;CAN;;
Samuel;Kňažko;26/27;O;VIT;26;L;SVK;;
John;Leahy;26/27;O;VIT;28;L;CAN;;
Tomáš;Pavelka;27/28;O;VIT;26;L;CZE;;
Vojtěch;Port;26/27;O;VIT;35;P;CZE;;
Josh;Wesley;26/27;O;VIT;34;P;USA;;
Jakub;Zbořil;26/27;O;VIT;26;L;CZE;;
Jindřich;Abdul;26/27;RW/LW;VIT;33;L;CZE;;
Jan;Bernovský;26/27;RW;VIT;29;P;CZE;;
David;Cienciala;26/27;C/LW;VIT;34;L;CZE;;
Šimon;Fašner;26/27;C/LW;VIT;33;L;CZE;;
Sebastian;Glas;27/28+1;C;VIT;20;P;CZE;;
Petr;Hauser;26/27;RW/LW;VIT;29;P;CZE;;
Jan;Hladonik;26/27;C/LW;VIT;31;L;CZE;;
Marek;Hrivík;26/27+1;C/LW;VIT;27;L;SVK;;
Marek;Kalus;27/28;LW;VIT;27;L;CZE;;
Filip;Krivošík;27/28;F/RW;VIT;35;P;SVK;;
Krzysztof;Macias;26/27;F;VIT;29;L;CZE;;
Anthony;Nellis;27/28;C/LW;VIT;30;L;CZE;;
Dominik;Petr;26/27+1;C/LW;VIT;28;L;CZE;;
Jan;Šír;27/28;C/RW;VIT;35;P;CZE;;
Šimon;Stránský;28/29;LW/C;VIT;19;L;CZE;;
Chad;Yetman;26/27;C/RW;VIT;30;P;CAN;;
